"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2016","14,224.0","14,224.0","14,343.7","14,134.1","1.58M","0.00%"
"03/29/2016","14,224.0","14,373.7","14,373.7","14,194.0","1.94M","-1.04%"
"03/28/2016","14,373.7","14,463.5","14,463.5","14,343.7","1.07M","0.21%"
"03/25/2016","14,343.7","14,433.6","14,493.5","14,253.9","3.01M","-1.03%"
"03/24/2016","14,493.5","14,613.3","14,643.2","14,493.5","2.21M","-0.62%"
"03/23/2016","14,583.3","14,583.3","14,673.1","14,523.4","1.52M","0.00%"
"03/22/2016","14,583.3","14,673.1","14,703.1","14,583.3","1.67M","-1.02%"
"03/21/2016","14,733.0","14,763.0","14,822.9","14,673.1","1.88M","-0.20%"
"03/18/2016","14,763.0","14,673.1","14,942.7","14,673.1","6.74M","1.65%"
"03/17/2016","14,523.4","14,553.4","14,643.2","14,523.4","1.67M","0.00%"
"03/16/2016","14,523.4","14,523.4","14,583.3","14,493.5","1.31M","0.00%"
"03/15/2016","14,523.4","14,643.2","14,703.1","14,523.4","1.45M","-0.41%"
"03/14/2016","14,583.3","14,673.1","14,792.9","14,583.3","2.69M","0.41%"
"03/11/2016","14,523.4","14,493.5","14,643.2","14,493.5","2.00M","0.62%"
"03/10/2016","14,433.6","14,373.7","14,463.5","14,343.7","739.12K","0.42%"
"03/09/2016","14,373.7","14,313.8","14,433.6","14,313.8","1.08M","0.00%"
"03/08/2016","14,373.7","14,553.4","14,583.3","14,373.7","3.02M","-1.23%"
"03/07/2016","14,553.4","14,673.1","14,792.9","14,553.4","1.94M","-0.82%"
"03/04/2016","14,673.1","14,553.4","14,763.0","14,553.4","2.27M","0.41%"
"03/03/2016","14,613.3","14,643.2","14,763.0","14,613.3","2.21M","0.21%"
"03/02/2016","14,583.3","14,493.5","14,613.3","14,463.5","2.16M","1.04%"
"03/01/2016","14,433.6","14,313.8","14,643.2","14,253.9","3.23M","0.84%"
"02/29/2016","14,313.8","14,343.7","14,343.7","14,253.9","1.37M","0.21%"
"02/26/2016","14,283.9","14,313.8","14,313.8","14,194.0","1.02M","0.21%"
"02/25/2016","14,253.9","14,373.7","14,463.5","14,253.9","1.79M","-0.42%"
"02/24/2016","14,313.8","14,283.9","14,373.7","14,253.9","1.74M","0.00%"
"02/23/2016","14,313.8","14,523.4","14,523.4","14,313.8","1.93M","-0.83%"
"02/22/2016","14,433.6","14,283.9","14,433.6","14,283.9","1.38M","1.05%"
"02/19/2016","14,283.9","14,373.7","14,373.7","14,253.9","1.41M","-0.83%"
"02/18/2016","14,403.6","14,283.9","14,463.5","14,253.9","1.96M","1.26%"
"02/17/2016","14,224.0","14,224.0","14,433.6","14,224.0","1.91M","0.42%"
"02/16/2016","14,164.1","14,074.2","14,224.0","13,984.4","919.90K","1.28%"
"02/15/2016","13,984.4","13,984.4","14,014.4","13,864.6","908.19K","-0.43%"
"02/05/2016","14,044.3","13,984.4","14,074.2","13,924.5","965.83K","0.86%"
"02/04/2016","13,924.5","14,044.3","14,044.3","13,924.5","748.79K","-0.21%"
"02/03/2016","13,954.5","13,894.6","14,044.3","13,834.7","1.70M","0.87%"
"02/02/2016","13,834.7","13,864.6","13,984.4","13,834.7","489.08K","-0.86%"
"02/01/2016","13,954.5","13,924.5","14,044.3","13,774.8","1.55M","0.43%"
"01/29/2016","13,894.6","13,864.6","13,924.5","13,744.8","1.32M","0.87%"
"01/28/2016","13,774.8","13,864.6","13,894.6","13,714.9","1.30M","-0.65%"
"01/27/2016","13,864.6","13,924.5","13,924.5","13,834.7","893.72K","0.87%"
"01/26/2016","13,744.8","13,924.5","13,954.5","13,744.8","1.76M","-2.55%"
"01/25/2016","14,104.2","13,625.1","14,104.2","13,475.3","2.37M","5.13%"
"01/22/2016","13,415.4","13,475.3","13,505.3","13,265.7","1.84M","-0.22%"
"01/21/2016","13,445.4","13,415.4","13,505.3","13,355.6","1.72M","0.00%"
"01/20/2016","13,445.4","13,505.3","13,625.1","13,445.4","1.73M","-0.44%"
"01/19/2016","13,505.3","13,445.4","13,565.2","13,385.5","2.32M","0.45%"
"01/18/2016","13,445.4","13,685.0","13,685.0","13,265.7","5.99M","-2.60%"
"01/15/2016","13,804.7","13,834.7","13,924.5","13,774.8","1.58M","-0.22%"
"01/14/2016","13,834.7","13,804.7","13,894.6","13,774.8","1.35M","-0.43%"
"01/13/2016","13,894.6","14,074.2","14,164.1","13,864.6","1.44M","-1.07%"
"01/12/2016","14,044.3","13,774.8","14,044.3","13,685.0","1.55M","2.18%"
"01/11/2016","13,744.8","13,864.6","13,864.6","13,744.8","2.14M","-0.86%"
"01/08/2016","13,864.6","14,014.4","14,044.3","13,774.8","4.71M","-1.49%"
"01/07/2016","14,074.2","14,343.7","14,343.7","14,074.2","4.89M","-1.88%"
"01/06/2016","14,343.7","14,313.8","14,403.6","14,313.8","1.19M","0.21%"
"01/05/2016","14,313.8","14,313.8","14,373.7","14,283.9","1.95M","0.00%"
"01/04/2016","14,313.8","14,493.5","14,523.4","14,313.8","1.60M","-1.04%"
"12/31/2015","14,463.5","14,463.5","14,613.3","14,433.6","1.51M","0.00%"
"12/30/2015","14,463.5","14,553.4","14,643.2","14,463.5","2.43M","0.00%"
"12/29/2015","14,463.5","14,433.6","14,523.4","14,403.6","1.15M","0.42%"
"12/28/2015","14,403.6","14,373.7","14,583.3","14,283.9","2.04M","0.63%"
"12/25/2015","14,313.8","14,373.7","14,373.7","14,283.9","901.11K","0.00%"
"12/24/2015","14,313.8","14,403.6","14,433.6","14,313.8","1.26M","-0.21%"
"12/23/2015","14,343.7","14,463.5","14,493.5","14,313.8","1.61M","-0.42%"
"12/22/2015","14,403.6","14,523.4","14,583.3","14,403.6","1.43M","-0.82%"
"12/21/2015","14,523.4","14,643.2","14,643.2","14,463.5","1.43M","-0.82%"
"12/18/2015","14,643.2","14,733.0","14,763.0","14,643.2","2.19M","-0.61%"
"12/17/2015","14,733.0","14,733.0","14,822.9","14,673.1","2.43M","0.82%"
"12/16/2015","14,613.3","14,583.3","14,763.0","14,583.3","3.33M","0.62%"
"12/15/2015","14,523.4","14,313.8","14,523.4","14,313.8","1.40M","1.46%"
"12/14/2015","14,313.8","14,343.7","14,433.6","14,313.8","1.15M","-0.42%"
