"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2023","42,591","43,582","44,077","42,591","1.64M","-3.37%"
"02/21/2023","44,077","43,978","44,820","43,978","1.41M","0.45%"
"02/20/2023","43,879","42,789","43,879","42,344","1.87M","2.43%"
"02/17/2023","42,839","42,888","42,888","42,443","959.10K","-0.11%"
"02/16/2023","42,888","42,789","43,086","42,393","944.20K","1.28%"
"02/15/2023","42,344","42,096","43,086","42,096","1.08M","0.59%"
"02/14/2023","42,096","42,393","42,591","41,997","803.20K","0.00%"
"02/13/2023","42,096","41,700","42,096","41,106","1.73M","0.95%"
"02/10/2023","41,700","43,582","44,027","41,700","2.03M","-4.32%"
"02/09/2023","43,582","43,978","45,018","43,582","1.47M","-1.12%"
"02/08/2023","44,077","45,266","45,563","44,077","1.65M","-2.63%"
"02/07/2023","45,266","46,207","47,544","45,266","2.02M","-3.07%"
"02/06/2023","46,702","46,553","46,751","45,266","2.65M","-1.36%"
"02/03/2023","47,346","47,593","48,138","47,346","6.22M","-4.21%"
"02/02/2023","49,426","46,504","49,426","45,860","4.86M","5.95%"
"02/01/2023","46,652","45,761","46,702","45,266","7.84M","1.29%"
"01/31/2023","46,058","45,464","46,058","44,919","2.72M","0.65%"
"01/30/2023","45,761","45,464","46,355","44,968","3.21M","0.65%"
"01/27/2023","45,464","45,959","46,454","45,464","2.48M","0.66%"
"01/19/2023","45,167","44,523","45,662","44,325","3.49M","1.45%"
"01/18/2023","44,523","43,086","44,770","42,839","3.69M","4.41%"
"01/17/2023","42,641","41,997","42,987","41,799","2.76M","2.74%"
"01/16/2023","41,502","41,650","41,898","41,304","1.41M","-0.36%"
"01/13/2023","41,650","41,997","42,245","41,650","1.09M","-0.12%"
"01/12/2023","41,700","42,146","42,591","41,650","986.10K","-1.06%"
"01/11/2023","42,146","41,898","42,789","41,898","1.46M","0.83%"
"01/10/2023","41,799","41,601","42,195","41,502","1.42M","0.48%"
"01/09/2023","41,601","42,740","42,888","41,601","2.66M","-2.66%"
"01/06/2023","42,740","43,186","43,433","42,740","1.51M","-1.03%"
"01/05/2023","43,186","43,483","43,582","42,888","1.10M","0.23%"
"01/04/2023","43,086","42,690","43,879","42,690","1.87M","-1.02%"
"01/03/2023","43,532","42,393","43,582","42,096","2.00M","2.45%"
"12/30/2022","42,492","42,393","42,591","41,650","1.65M","0.00%"
"12/29/2022","42,492","42,096","42,492","41,700","1.21M","-0.23%"
"12/28/2022","42,591","42,591","42,789","41,502","1.39M","-1.83%"
"12/27/2022","43,384","41,106","43,384","41,106","2.32M","2.82%"
"12/26/2022","42,195","45,067","45,315","42,195","2.56M","-6.99%"
"12/23/2022","45,365","46,058","46,058","45,117","1.58M","-1.50%"
"12/22/2022","46,058","45,909","46,256","44,869","1.52M","0.22%"
"12/21/2022","45,959","46,058","46,306","43,928","2.05M","-0.21%"
"12/20/2022","46,058","46,157","46,405","43,780","3.35M","-1.38%"
"12/19/2022","46,702","47,148","48,336","46,702","3.78M","-1.46%"
"12/16/2022","47,395","46,306","47,494","45,464","3.00M","1.81%"
"12/15/2022","46,553","46,008","47,048","45,711","2.54M","1.18%"
"12/14/2022","46,008","46,850","46,850","45,365","2.19M","0.11%"
"12/13/2022","45,959","45,315","45,959","43,978","1.96M","1.09%"
"12/12/2022","45,464","45,761","46,850","44,572","3.47M","-0.65%"
"12/09/2022","45,761","45,563","46,157","44,919","1.68M","0.43%"
"12/08/2022","45,563","45,365","46,553","44,770","2.63M","2.56%"
"12/07/2022","44,424","43,928","44,572","43,086","2.93M","1.13%"
"12/06/2022","43,928","46,751","46,751","43,928","4.09M","-6.83%"
"12/05/2022","47,148","46,603","48,386","46,603","4.15M","1.28%"
"12/02/2022","46,553","42,987","46,553","42,987","6.46M","6.70%"
"12/01/2022","43,631","44,572","45,167","42,344","5.86M","-0.11%"
"11/30/2022","43,681","43,186","44,572","42,591","3.78M","3.04%"
"11/29/2022","42,393","40,115","42,393","40,115","5.27M","6.60%"
"11/28/2022","39,768","37,936","40,016","37,936","4.32M","6.22%"
"11/25/2022","37,441","37,193","37,936","36,153","2.60M","0.27%"
"11/24/2022","37,342","38,827","38,827","37,342","7.86M","-6.91%"
"11/23/2022","40,115","39,917","40,511","39,719","1.51M","0.75%"
"11/22/2022","39,818","39,818","41,205","39,471","3.71M","-1.11%"
"11/21/2022","40,264","41,551","41,551","40,264","1.76M","-3.56%"
"11/18/2022","41,749","40,610","41,848","39,521","4.37M","0.84%"
"11/17/2022","41,403","41,353","42,492","40,412","2.86M","3.34%"
"11/16/2022","40,065","34,915","40,065","34,915","8.56M","6.87%"
"11/15/2022","37,490","37,837","39,125","37,490","2.98M","-6.89%"
"11/14/2022","40,264","41,601","42,344","40,016","3.51M","-5.46%"
"11/11/2022","42,591","42,987","43,978","42,591","3.57M","1.54%"
"11/10/2022","41,947","44,523","44,523","41,947","3.67M","-6.92%"
"11/09/2022","45,067","44,572","46,008","44,127","2.16M","2.02%"
"11/08/2022","44,176","42,443","45,167","40,907","4.12M","4.08%"
"11/07/2022","42,443","45,563","46,107","42,443","5.34M","-6.95%"
"11/04/2022","45,612","47,098","47,544","45,612","5.74M","-6.97%"
"11/03/2022","49,029","48,534","49,822","47,643","2.60M","3.12%"
"11/02/2022","47,544","49,525","49,822","46,355","4.32M","-4.19%"
"11/01/2022","49,624","51,506","52,001","49,624","2.00M","-2.91%"
"10/31/2022","51,109","51,902","52,397","49,029","3.90M","-3.01%"
"10/28/2022","52,694","52,991","53,883","52,298","1.80M","-0.19%"
"10/27/2022","52,793","50,812","53,388","50,812","2.99M","2.70%"
"10/26/2022","51,407","51,605","52,001","50,119","1.53M","-0.19%"
"10/25/2022","51,506","50,218","53,487","48,534","4.40M","2.77%"
"10/24/2022","50,119","53,982","54,477","50,119","4.83M","-6.99%"
"10/21/2022","53,883","57,746","57,746","53,883","4.24M","-6.85%"
"10/20/2022","57,845","57,647","58,439","57,350","1.81M","-1.02%"
"10/19/2022","58,439","58,637","58,934","57,746","1.41M","0.00%"
"10/18/2022","58,439","59,331","59,925","58,043","2.05M","0.17%"
"10/17/2022","58,340","59,033","59,033","57,251","2.67M","-1.67%"
"10/14/2022","59,331","57,449","59,727","57,449","2.99M","3.99%"
"10/13/2022","57,052","56,458","57,647","55,963","1.53M","0.17%"
"10/12/2022","56,953","54,972","58,241","54,972","2.89M","3.79%"
"10/11/2022","54,873","56,557","57,052","53,586","2.33M","-2.98%"
"10/10/2022","56,557","52,595","56,755","52,496","3.91M","5.74%"
"10/07/2022","53,487","55,963","57,350","53,487","5.57M","-6.90%"
"10/06/2022","57,449","61,609","61,708","57,449","3.17M","-6.75%"
"10/05/2022","61,609","60,420","62,500","60,420","2.12M","1.97%"
"10/04/2022","60,420","60,618","60,717","59,529","4.02M","2.35%"
"10/03/2022","59,033","62,302","62,302","59,033","4.03M","-6.88%"
"09/30/2022","63,392","63,094","63,590","61,113","4.37M","0.00%"
"09/29/2022","63,392","65,868","65,868","63,094","2.55M","-1.54%"
"09/28/2022","64,382","65,472","66,363","64,382","2.72M","-3.13%"
"09/27/2022","66,462","66,759","67,354","66,165","1.54M","-1.32%"
"09/26/2022","67,354","67,155","67,552","64,976","5.24M","-2.02%"
"09/23/2022","68,740","69,434","69,434","67,948","2.72M","-1.00%"
"09/22/2022","69,434","68,443","70,127","67,651","4.25M","0.14%"
"09/21/2022","69,335","70,325","70,325","69,335","3.11M","-2.37%"
"09/20/2022","71,018","70,226","71,316","68,542","3.38M","1.70%"
"09/19/2022","69,830","71,316","72,108","68,443","4.17M","-2.08%"
"09/16/2022","71,316","72,702","72,999","70,721","4.28M","-2.57%"
"09/15/2022","73,198","72,999","74,089","72,702","3.18M","0.27%"
"09/14/2022","72,999","72,009","73,198","71,910","3.70M","-0.54%"
"09/13/2022","73,396","73,297","73,693","72,603","1.96M","0.14%"
"09/12/2022","73,297","71,514","74,683","71,415","7.35M","2.78%"
"09/09/2022","71,316","71,316","71,712","70,127","2.78M","0.70%"
"09/08/2022","70,820","70,820","71,613","69,830","3.75M","1.13%"
"09/07/2022","70,028","71,910","72,108","69,929","5.67M","-3.02%"
"09/06/2022","72,207","71,910","72,603","71,712","2.60M","0.55%"
"09/05/2022","71,811","73,198","73,198","71,811","2.69M","-2.03%"
"08/31/2022","73,297","71,811","73,297","71,811","4.62M","0.96%"
"08/30/2022","72,603","73,792","74,287","72,207","4.23M","-0.95%"
"08/29/2022","73,297","71,117","73,297","70,028","7.69M","2.49%"
"08/26/2022","71,514","68,047","72,405","68,047","10.85M","5.56%"
"08/25/2022","67,750","67,056","68,047","66,660","5.15M","2.40%"
"08/24/2022","66,165","66,264","66,561","65,670","2.22M","-0.15%"
"08/23/2022","66,264","65,274","67,155","65,274","4.01M","0.60%"
"08/22/2022","65,868","63,986","66,264","63,887","5.86M","3.74%"
"08/19/2022","63,491","63,887","64,778","62,500","2.28M","-0.62%"
"08/18/2022","63,887","64,382","65,175","63,293","4.07M","-0.77%"
"08/17/2022","64,382","65,373","65,769","64,382","2.52M","-1.52%"
"08/16/2022","65,373","64,382","66,363","64,382","3.91M","1.54%"
"08/15/2022","64,382","62,698","64,382","62,401","4.43M","3.17%"
"08/12/2022","62,401","62,302","63,094","61,609","2.42M","0.00%"
"08/11/2022","62,401","63,392","63,590","61,906","2.72M","-0.94%"
"08/10/2022","62,995","62,698","63,689","62,401","1.97M","0.47%"
"08/09/2022","62,698","62,500","62,995","62,302","2.81M","0.64%"
"08/08/2022","62,302","62,104","62,302","61,708","2.49M","0.32%"
"08/05/2022","62,104","62,302","62,896","62,005","2.71M","0.00%"
"08/04/2022","62,104","61,609","62,401","61,510","4.34M","1.46%"
"08/03/2022","61,213","61,411","61,609","60,717","2.66M","-0.32%"
"08/02/2022","61,411","61,213","61,906","60,717","2.12M","1.14%"
"08/01/2022","60,717","60,420","61,312","59,430","3.26M","0.49%"
"07/29/2022","60,420","61,807","61,807","60,420","3.38M","-1.61%"
"07/28/2022","61,411","62,401","62,401","61,411","1.95M","-0.16%"
"07/27/2022","61,510","59,529","62,401","59,529","1.87M","-1.43%"
"07/26/2022","62,401","63,293","63,293","62,203","1.81M","-0.47%"
"07/25/2022","62,698","64,184","65,175","62,104","4.02M","-1.86%"
"07/22/2022","63,887","64,283","66,165","63,590","5.45M","0.62%"
"07/21/2022","63,491","60,618","63,887","60,618","5.00M","4.74%"
"07/20/2022","60,618","58,637","62,401","57,647","7.38M","2.00%"
"07/19/2022","59,430","60,618","60,618","58,934","2.12M","-1.64%"
"07/18/2022","60,420","60,915","62,302","59,628","2.54M","-0.81%"
"07/15/2022","60,915","62,203","62,599","60,915","3.08M","-1.76%"
"07/14/2022","62,005","62,302","63,392","61,708","2.13M","-1.57%"
"07/13/2022","62,995","63,392","63,590","61,312","3.10M","-1.24%"
"07/12/2022","63,788","64,184","64,184","63,392","1.61M","-0.15%"
"07/11/2022","63,887","64,184","64,283","63,392","1.37M","-0.77%"
"07/08/2022","64,382","64,085","65,868","63,788","2.59M","1.56%"
"07/07/2022","63,392","63,491","64,382","63,293","1.59M","0.00%"
"07/06/2022","63,392","64,877","65,670","63,392","2.40M","-2.29%"
"07/05/2022","64,877","67,155","67,155","63,392","3.98M","-3.39%"
"07/04/2022","67,155","69,335","69,434","65,967","5.18M","-3.56%"
"07/01/2022","69,632","70,919","70,919","68,146","3.29M","-1.68%"
"06/30/2022","70,820","72,405","72,405","70,523","2.40M","-2.06%"
"06/29/2022","72,306","72,108","73,297","70,424","3.15M","0.27%"
"06/28/2022","72,108","70,325","72,207","70,325","4.12M","1.82%"
"06/27/2022","70,820","71,018","71,811","70,424","3.16M","-0.56%"
"06/24/2022","71,217","72,801","72,801","70,721","2.72M","-0.83%"
"06/23/2022","71,811","69,335","72,801","69,136","4.91M","3.87%"
"06/22/2022","69,136","74,881","74,881","68,542","3.82M","-5.03%"
"06/21/2022","72,801","74,287","75,079","70,325","3.37M","-0.54%"
"06/20/2022","73,198","77,259","77,259","72,900","4.48M","-4.89%"
